query,most_similar_sentence,query_content,sentence_content,jaccard_index
12,4,絕對的超科學,一一这是显而易见的,0.07692307692307693
13,9,"這句話本是不能通崗,當以範壽康民的修正肉為妥當",这句话本是不能通过当以范寿康氏的修正案为妥当,0.3870967741935484
14,10,"唐民認為決不是超科學的嘩然誠然,但是梁氏在威情中舉出美的間題謂是超科學的這才並非無理","唐氏认为决不是超科学的诚然诚然但是梁氏在感情中举出美的问题,谓是超科学的,这却并非无理不但并非无理并且是合理的话",0.35294117647058826
15,50,不旬振莫無理,"这种动作就是创造,是个性的创造",0.0
16,4,並且是合理的話,一一这是显而易见的,0.15384615384615385
17,12,"這也不是梁氏一人的私言美國學者小MBaldwin著發生的實在論,其中他的美學說國做汎美論Panealism,他以為我們和接事物可分三種適當的有形式,乃是心的態度上之特徵這三竹也可說大體代表人文發展的三種階段",他以为我们晋接事物可分三种适当的形式帮是心的态度上之特征这三种也可说大体代表人文发展的三种阶段,0.29213483146067415
18,36,這三種就是神秘的Mygtieal,"唐锋的所谓美术品大约指LogicalStage上的美术品,这也对的",0.2
19,4,論理的Logieal美的Aesthetie,一一这是显而易见的,0.045454545454545456
20,14,"這三種進而成先論理的階眉Prelogiealstage,論理的階鵬Logicalstage,超諭理的階段Hyperlogicalstage見GenetieTheoryofRealityP39",这三种进而成先论理的阶段PrelogicalStage论理的阶段LogicalStage超论理的阶段HyperlogicalStage见GenticTheoryofRealityP39,0.625
21,15,在這虛Baldwin也認美的是超論理的,在这里Baldwin也认美的是超论理的,0.6363636363636364
22,16,所謂超論理狼就時超論證的Hyperdiseursivey超推諭的了Hypertheoretieal超科舉移了Hyberseient放ie,"所谓超论理的就是超论证的Hyperdiscursive超推论的Hypertheoretical超科学的Hyperscientific并不是反论理的Antilogical也不是无论理的Alogical,只是论理或狭义的科学的范围所包含不住的罢了",0.4067796610169492
23,40,"並不是反論理的Antilogieal,也不是找諗理的Alogieal只是論理或鋒例的科學的矣圍所包合不住的家了","剧作家将灵魂的传记,感情与事体之活的织物,捧在我们的面前也只一次发现决不会再起的",0.09375
24,17,"美是可以分析的,美術品也是可以分析的,這是美學藝術學早已明詔我們的了",美是可以分析的美术品也是可以分析的这是美学艺术学早已明诏我们的了,0.5185185185185185
25,18,"疾種分析在文化科學的方法上法努力,原是正道","这种分析在文化科学的方法上去努力,原是正道,然而唐钱氏却以为可以用自然科学一一论理或狭义的科学一的方法去分析",0.4146341463414634
26,32,"然而赴鐵鋪卻以為可以用自然科學一一論理或狹義的科學一的方法去分析,他雖不人明言,但他說二份輕氣一份義氣也不是水,但是在菜條件之上,人台起來才會鱗出水來","至于受过陶冶的人就喜欢清微痰远的颜色一一如清紫及浅红淡黄之类并且注意他们的配合然而事实并不一律的原始时代的绘画有的非常痰远,近代新派画有的非常浓丽,近代人的装饰也不废浓丽的",0.09615384615384616
27,20,"線光爸調等不是美,然而作某他的有組織,就生出美來",线韵调等不是美然而作某种的组织就生出美来,0.41379310344827586
28,21,這都是一樣的道理,这都是一样的道理,0.6
29,50,從這裏看來,"这种动作就是创造,是个性的创造",0.0
30,4,他的倍條如中,一一这是显而易见的,0.07692307692307693
31,23,"唐氏認美學幼稚忽而發達到這樣困電,是我所懷疑的地方","唐氏认美学幼稚忽而发达到这样田地,这是我所怀疑的地方",0.48484848484848486
32,6,美與藝術研究的方法,"若艺术家创作时根据科学的方法,从这里产出的作品决不是真的艺术品",0.0967741935483871
33,6,"Lange主張替學的方法與科學的方法相對立耐,Grosse主張藝術學自美學中跳出用科學的方法研究","若艺术家创作时根据科学的方法,从这里产出的作品决不是真的艺术品",0.11538461538461539
34,24,這就是他的人下學的方法EthnologiseheMethode,"美与艺术研究的方法,一一Lange主张哲学的方法与科学的方法相对立而Grosse主张艺术学自美学中跳出,用科学的方法研究,这就是他的人种学的方法EthnologischeMethode",0.37254901960784315
35,20,訕人的意見以為美學就是共術學,线韵调等不是美然而作某种的组织就生出美来,0.14285714285714285
36,25,"其計見LangeDasWesenDerKunstGrosseDieAnfangederKunst中殘elDerKunstwissengehaft,及Kunstwissenseha地Studien中AufgabenDerKunstwissensehaft,其間Fiedler又謂美的與藝術的全無關係美學自美學,藝兩學自藝術學",两人的意见以为美学就是艺术学其详见LangeDasWesenDerKunsbtGrosseDieAnfangederKunst中ZielDerKunstwissenschaft及KunstwissenschaftStudien中AufgabenDerKunstwissenschaft,0.45901639344262296
37,27,"其詳見彼所若_SchriftenueberKunst,其後Dessoir前美的並非藝術的革術的目的並非美,美不但現於藝術,貸彌漫於人事宇宙的全部,美學的研究是不開藝向的其詳見彼所著AesthetikundKunstwis8en8eha抱哮家的議論只是界限上的爭論,方法上多認為應歸於科學的",其后Dessoir谓美的并非艺术的艺术的目的并非美美不但现于艺术尚弥漫于人事宇宙的全部美学的研究是不关艺术的其详见彼所著AesthetikundKunstwissenscha太,0.4065934065934066
38,50,"最近UtE計張藝術學就是藝術白學,美學並非藝術科學,是藝術哲學","这种动作就是创造,是个性的创造",0.10714285714285714
39,26,"其詳見所著GrundlegungDerAlLgemeinenKunstwissengehafto這樣看來所得的結論無能謂美學與藝術學,均不歸宿於科學而歸宿於哲學","其间Fiedler又谓美的与艺术的全无关系美学自美学,艺术学自艺术学其详见徙所著SchriftenUeberKunst",0.2535211267605634
40,47,美學與藝術學雛不了哲學的錦圍而唐世已在這在運用普蟬的法則,"艺术批评的标准是随着艺术品而定的,决不能用普遍的法则了事",0.17073170731707318
41,50,未免發達得太直速了,"这种动作就是创造,是个性的创造",0.0
42,31,"唐拱論美的分析說我們知道野蠻人同小孩,常常歡喜濃貼凡目的顏色,如深紅濃綠等而且不管他們急樣配合","唐氏论美的分析说我们知道野变人同小孩,常常欢喜浓艳防目的颜色,如深红浓绿等,而且不管他们怎样配合",0.5
43,55,孖於受過陶治的人跨喜歡清徵淡遠的顏色一一如清茲及淺紅淡邁之類一一並且注意他們的配合,所谓自我的主观的就是个性就是人格的统一之世界上的真相到了纯粹的直观才会到这一个地位,0.06557377049180328
44,4,然耐事實並不一針的,一一这是显而易见的,0.13333333333333333
45,32,"原始時代侈縮畫有的非常淡遠,近代新派畫有的非常濃腿近代人的裝飾生不廢濃麗的","至于受过陶冶的人就喜欢清微痰远的颜色一一如清紫及浅红淡黄之类并且注意他们的配合然而事实并不一律的原始时代的绘画有的非常痰远,近代新派画有的非常浓丽,近代人的装饰也不废浓丽的",0.19444444444444445
46,33,"這竹廟淺的普遍法則,恐不是美學上究竟的法則胃航是個別的法則在美學上不過一種手了店,也不是美學上究竟的目的",这种肤浅的普遍法则丽不是美学上究竟的法则罢就是个别的法则在美学上不过一种手段也不是美学上究竟的目的,0.3409090909090909
47,34,"唐民又說美箱品中有很多地方,外人看來以為不可分析的而美術家自己寺以為是可以分析的",唐氏又说美术品中有很多地方外人看来以为不可分析的而美术家自己却以为是可以分析的,0.631578947368421
48,35,畫家的配色下筆多少是可以分析的,画家的配色下笔多少是可以分析的,0.75
49,37,"唐胡的所名美術品大約指LogiealStage上的美術品,這也對的,璧如贅師在學校裏數畫,依著歌授法請出甸入,配色,醫筆的順序學生照此說行,自然可以分析的","警如教师在学校里教画,依着教授法讲出勾稿配色落笔的顺序,学生照此奉行自然可以分析的",0.29333333333333333
50,38,"伯格森說畫家指定了畫布,在一定的地點哇日上所見的設色,他決不會再見的","伯格森说画家指定了画布在一定的地点时日上所见的设色,他决不会再见的",0.5555555555555556
51,39,"詩人獨自在他的一定情調上歌唱,也決不會机遇的","诗人独自在他的一定情调上歌唱,也决不会再遇的",0.5555555555555556
52,40,"劇作家將靈魂的傳記,威情與事體之活的織哆,攤任憫們的面前","剧作家将灵魂的传记,感情与事体之活的织物,捧在我们的面前也只一次发现决不会再起的",0.22
53,41,"也只一次發現,決不會再起的見英譯LaughterP161在這剎悸閱強贅的美威中,產出的藝術品藝術家自己用何竹方法來分析呢科學說了沒有的j","见英译LaughterP161在这刹那间强烈的美感中产出的艺术品,艺术家自己用何种方法来分析呢科学说神没有的",0.3924050632911392
54,50,然而六藝復興期的畫罕,"这种动作就是创造,是个性的创造",0.047619047619047616
55,42,都畫出聖母當,"然而文艺复兴期的画家,都画出圣母来",0.15789473684210525
56,47,科學說作交作詩痢有交法的J,"艺术批评的标准是随着艺术品而定的,决不能用普遍的法则了事",0.06060606060606061
57,43,"然而音樂的聖人Wagner的歌曲,多不合交法的",科学说作文作诗都有文法的然而音乐的圣人Wagner的歌曲多不合文法的,0.5483870967741935
58,44,"這些藝術品都不受科學的支配,不因此而成為非最高的莽術品","这些艺术品都不受科学的支配,不因此而成为非最高的艺术品",0.6071428571428571
59,45,"印度的影刻是偏重於神的,以使人虛敬禮拜為本位希臟的影刻是偏重於人的",印度的雕刻是偏重于神的以使人虑敬礼拜为本位希腊的雕刻是偏重于人的以使人欣赏享乐为本位,0.48484848484848486
60,56,以使人欣賞享樂為本位,这个地位也可以说是形而上的实在,0.08695652173913043
61,46,才是以同樣法則去分析帳們,"若是以同样法则去分析它们,决不会有一致的结果",0.25925925925925924
62,4,次不會有一至的結果,一一这是显而易见的,0.13333333333333333
63,47,"藝休批評的標準是隨著藝術品而定的,決不能用普逼的法則了事","艺术批评的标准是随着艺术品而定的,决不能用普遍的法则了事",0.4
64,48,"一作家有一作綜的個性,一國文化有一國交化的特質,這是我們都知道的","一作家有一作家的个性,一国文化有一国文化的特质,这是我们都知道的",0.5555555555555556
65,49,"共術的要溺是一髓動好,並非單單表出受動的威覺,是表出內面的動一一生命就是動一一是表出內面的生命",艺术的要素是一个动字并非单单表出受动的感觉一一是表出内面的动一一生命就是动一一是表出内面的生命,0.34285714285714286
66,50,"這種動作各是創洁,是個性的創革","这种动作就是创造,是个性的创造",0.25
67,27,"近代噴謊杞期印象派一幾印象派的所謂自然之表面的關係Oberflaeehenzusammenhang,代而為悉的力疙關論LebendigenKriftezusammenhang",其后Dessoir谓美的并非艺术的艺术的目的并非美美不但现于艺术尚弥漫于人事宇宙的全部美学的研究是不关艺术的其详见彼所著AesthetikundKunstwissenscha太,0.15294117647058825
68,51,"到了YanGogh又進耐蝕空間為一個力的有機體DynamiseheOrganismus,莫授的他哆於此中拓其存在萬物成了力的象徵Kraftesymbolik","近代艺术,后期印象派一变印象派的所谓自然之表面的关系OberflaechenZusammenhang进而为活的力的关系LebendigerKrafteZusammenhang到了VanGogh又进而认空间为一个力的有机体DynamischeOrganismus,一一普通的个物于此中失其存在万物成了力的象征KrafteSymbolik到了Gauguin与Matisse又转而为纯粹的抒情诗将自然精神化了",0.3584905660377358
69,50,"到了Gauguin與Matisse又轉而為純粹豚抒情詩,將自然精祁化了","这种动作就是创造,是个性的创造",0.024390243902439025
70,52,"他們在直接的感情上求物的本質,不但在威情上求,還在威避所起的生動LebendigeAktivitaet上求",他们在直接的感情上求物的本质不但在感情上求还在感情所起的生动LebendigerAktiviraet上求,0.7
71,53,"於是有立體派表現派的發生,達到了自我的主觀的",于是有立体派表现派的发生达到了自我的主观的,0.48
72,54,"這種主觀並非慨念的主近,是從直觀中生出的主觀","这种主观并非概念的主观,是从直观中生出的主观",0.43478260869565216
73,55,"所謂自我的直觀的,就是個性,就是人格的統一之世界上的真相到了純勞的直觀,才會到這一個地位這個地位也可以說是形而上的實在",所谓自我的主观的就是个性就是人格的统一之世界上的真相到了纯粹的直观才会到这一个地位,0.4583333333333333
74,4,伯格森論噴術的任務,一一这是显而易见的,0.0625
75,32,"以為實在與我們的中間,有一層幕布藝術將這居幕布搬去,使我們與實在相見e見OPP155總之藝術是個性的自由,人生毆是意志的自由,二者同展是價值的創造是論理的繩墨所量不太的","至于受过陶冶的人就喜欢清微痰远的颜色一一如清紫及浅红淡黄之类并且注意他们的配合然而事实并不一律的原始时代的绘画有的非常痰远,近代新派画有的非常浓丽,近代人的装饰也不废浓丽的",0.07207207207207207
76,59,一九二四一月二下去作於月滑,一九二四年一月二十六日作于月浦,0.375
